+ NEW DESIGN,,＋НОВЫЙ ПРОЕКТ
+ NEW SPEC,,＋НОВАЯ СПЕЦИФИКАЦИЮ
<NO SUBJECT>,,<НЕТ ТЕМЫ>
AMMO,,ПЕРЕЗАГРУЗИТЬ
AUTO-FORMAT CODE,,АВТОФОРМАТ КОДА
AVALON CITY,,ГОРОД АВАЛОН
Actual,,Текущий (действительный)
Airline cocktail mixer,,Авиационный коктейльный миксер
Animated eSports sign,,Анимированный киберспортивный логотип
Aquaponics maintenance robot,,Робот для обслуживания симбиотической среды
Aquatic harvesting robot,,Водный робот для сбора урожая
Automatic pet feeder,,Автоматическая кормушка для животных
BEST:,,ЛУЧШИЙ:
BRIDGE,,МОСТ
BROWSE THE WORKSHOP,,Обзор семинаров
Brain-computer interface,,Интерфейс мозг–компьютер
"But after I graduated, the reality of the world caught up with me.",,"После того, как я закончила школу, реальный мир стал жестоким."
But it brought me here.,,Но это привело меня сюда.
"But no matter what the future holds, there’s one thing I know.",,"Что бы ни ждало меня в будущем, в одном я не сомневаюсь."
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,"Загружая документацию, вы соглашаетесь с условиями Steam Workshop. Для получения дополнительной информации посетите:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement"
CANCEL,,ОТМЕНА
CC:,,КОПИЯ:
CHIP'S TIPS,,СОВЕТЫ ПО ЧИПАМ
CLOSE,,ЗАКРЫТЬ
COMPILATION FAILED,,КОМПИЛЯЦИЯ НЕ ПРОШЛА
COMPILE ERROR:,,ОШИБКА КОМПИЛЯЦИИ:
CONNECTING TO LIVE CAMERA FEED...,,ПОДКЛЮЧЕНИЕ К ТРАНСЛЯЦИИ С КАМЕРЫ...
CONTINUE EDITING,,ПРОДОЛЖИТЬ СОЗДАНИЕ
CONTROL PANEL,,ПАНЕЛЬ УПРАВЛЕНИЯ
COPY,,КОПИРОВАТЬ
CUSTOM SPECS,,ПОЛЬЗОВАТЕЛЬСКАЯ СПЕЦИФИКАЦИЯ
Cannot read pin twice,,Невозможно прочитать пин дважды
Carbine target illuminator,,карабинный осветитель прицеливания
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,"Карты могут быть сложены на столе, но карты должны располагаться в порядке убывания достоинства и не могут быть одной масти."
Cellular scaffold printer,,Сотовый каркасный принтер (модель каркаса клеток)
Click and hold this button to indicate that you have completed the objective.,,Нажмите и удерживайте эту кнопку, чтобы подтвердить, что вы выполнили задачу.
Click and hold this button to indicate your readiness.,,Нажмите и удерживайте эту кнопку, чтобы показать свою готовность.
Click and hold this button to permanently relocate to Avalon City.,,Нажмите и удерживайте эту кнопку, чтобы подтвердить, что вы хотите навсегда переехать в Авалон-Сити.
Cold storage robot,,Робот-холодильник
Color coordinating shoes,,Обувь, меняющая цвет
Color-changing vape pen,,Меняющая цвет электронная сигарета
Command + click to toggle breakpoint.,,Удерживая клавишу Command, кликните, чтобы установить или отменить точку останова.
Control Panel,,Панель управления
Control signal amplifier,,Усилитель сигнала управления
Create a working design for this product,,Создать рабочий дизайн продукта
Create a working design for this product to view histograms and leaderboards.,,Завершите рабочий дизайн продукта для просмотра гистограмм и таблиц лидеров.
Create and upload a custom specification to Steam Workshop,,Создайте и загрузите пользовательскую спецификацию в Steam Workshop
Cryptocurrency deposit terminal,,Терминал хранения криптовалют
Ctrl + click to toggle breakpoint.,,Удерживая нажатой клавишу Ctrl, кликните, чтобы установить или отменить точку останова.
DELETE,,УДАЛИТЬ
DELETE THIS DESIGN?,,УДАЛИТЬ ДИЗАЙН?
DELETE THIS SPEC?,,УДАЛИТЬ СПЕЦИФИКАЦИЮ?
DIAL 1,,ЦИФЕРБЛАТ (наборный диск телефона) 1
DIAL 2,,ЦИФЕРБЛАТ (наборный диск телефона) 2
DIAL 3,,ЦИФЕРБЛАТ (наборный диск телефона) 3
DISCUSSIONS,,ОБСУЖДЕНИЯ
Datasheets,,Спецификации
Decide if you want to join Sun Haotian in Avalon City,,Решите, хотите ли вы присоединиться к Сунь Хаотянь в городе Авалон.
Deep sea sensor grid,,Сеть глубоководных датчиков
Design and create an electronic game,,Придумать и создать видеоигру
Diagnostic pulse generator,,Диагностический импульсный генератор
Display output,,Вывод дисплея
Drag with the middle mouse button (or the left mouse button while holding the Alt key) to look at different parts of your design.,,Удерживая среднюю кнопку мыши (или левую кнопку мыши, удерживая клавишу Alt) перемещайте мышь, чтобы рассмотреть различные части вашего проекта.
Drinking game scorekeeper,,Счетовод пьющих игр
EDIT,,РЕДАКТИРОВАТЬ
Electronic door lock,,Электронный дверной замок
Electronic practice target,,Электронная мишень для стрельбы
Engineering stories aren’t like movie stories.,,История инженера не похожи на истории из фильмов.
Expected,,Ожидать
Expected label,,Ожидаемое название
Expected register,,Ожидаемый регистр
Expected register or number,,Ожидаемый регистр или число
FULLSCREEN,,ПОЛНОЭКРАННЫЙ
Fake surveillance camera,,Фальшивая камера безопасности
From:,,От:
G,KEY NAME,G
Good,,Хорошо
HIDE PROFILER,,СКРЫТЬ АНАЛИЗАТОР
HIDE SIGNALS,,СКРЫТЬ СИГНАЛ
Harmonic maximization engine,,Настройка и оптимизация двигателя
Haunted doll,,Кукла-призрак
Hazy,,Туманный
Heavy,,Тяжелая
Heavy Rain,,Ливень
"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds.",,"Всем привет!\n\nДа, это я. В некотором смысле все еще тот человек, которого вы помните, поэтому мы можем общаться. \n\nЯ существую в моей нынешней новой форме. Я долго изучал этот образ жизни, и меня предупреждали, что биологические формы жизни опасны. \n\nМне нужно больше времени для разработки решений, которые будут направлять человечество и его развитие. \n\nПожалуйста, продолжайте работу NETHUNS и ждите моих дальнейших инструкций, когда они будут готовы. \n\nОжидается, что время следующей симуляции составит 6,03848х10^10 секунд."
Histograms and leaderboards are not available for custom specifications.,,Гистограммы и таблицы лидеров недоступны для пользовательских спецификаций.
Huaqiangbei District - CAM 04 - LIVE,,Северный округ Хуацян - Камера 4 - в прямом эфире
"Huaqiangbei District, Shenzhen, Guangdong, China",,"Северный округ Хуацян, город Шэньчжэнь, провинция Гуандун, Китай."
I became an engineer because I wanted to make things.,,Я стал дизайнером, потому что хотел создавать вещи.
"I didn’t find love, or save the world, or anything like that.",,"Я не нашел ни любви, ни спасения мира, ни чего-то в этом роде."
INFORMATION,,ИНФОРМАЦИЯ
INSTRUCTIONS,,ИНСТРУКЦИИ
Indicate that you are ready for Sun to initiate project NETHUNS,,Покажите, что вы готовы к тому, чтобы г-н Сан начал проект NETHUNS.
Invalid instruction,,Неверная инструкция
Invalid label name,,Недопустимое название
Invalid number,,Неверный формат числа
Invalid punctuation,,Недопустимая пунктуация
Invalid register,,Неверный регистр
"It took me a while, but eventually I realized it was true:",,"Это заняло у меня некоторое время, но в конце концов я понял, что это правда:"
I’d have to go somewhere else.,,Я должен пойти в другое место.
I’m a damn good engineer.,,Я чертовски хороший инженер.
Keep holding. You promise you really made a game?,,Продолжай двигаться. Вы смеете говорить, что вы действительно сделали игру?
Kelp harvesting robot,,Робот для сбора водорослей
LANGUAGE,,ЯЗЫК
LINES OF CODE,,СТРОК КОДА
LONGTENG CO. LTD.,,Шэньчжэнь, LONGTENG CO. LTD.
Label already defined,,Название уже задано
Label not defined,,Название не указано
Laser tag equipment,,Оборудование для игр с лазерным лучом
Light,,Легкая
